,0,1,2,3,4
0,business,"મોદી સરકાર 1 ફેબ્રુઆરીએ વચગાળાનું બજેટ રજૂ કરશે, આ જાહેરાતો થઈ શકે",entertainment,0.9997554421424866,be
1,business,LIC પોલિસી ધારકો માટે મોટી ખબર! પ્રીમિયમ જમા કરવાનો નિયમ બદલાયો,entertainment,0.9997075200080872,be
2,entertainment,"VIRAL VIDEO: મસ્તમૌલા અંદાજમાં રણવીર સિંહ, ચાર્લી ચૈપલિનને આ રીતે આપ્યું ટ્રીબ્યુટ",entertainment,0.9995176792144775,ee
3,entertainment,શાહરૂખની સાથે ફિલ્મમાં કામ કરી ચુક્યો છે અનુષ્કાથી ઠપકો ખાધેલો વ્યક્તિ,entertainment,0.9995465874671936,ee
4,entertainment,એકદમ બટરફ્લાઇ અવતારમાં જોવા મળી આ એક્ટ્રેસ,entertainment,0.9991912245750427,ee
5,tech,"આજે અહીથી ખરીદો OnePlus 6, મળશે 25,000 રૂપિયા સુધીનો ફાયદો",entertainment,0.9622227549552917,te
6,entertainment,સલમાન સાથે પંગા બાદ નથી મળતો 'સોરી' અને 'થેન્ક્યૂ'નો ચાન્સ,entertainment,0.9994279742240906,ee
7,business,ફ્લાઈટમાં મોડુ થતાં હવે તમને મળશે રૂ. 20 હજાર! સરકારનો છે પ્રસ્તાવ,entertainment,0.9998093247413635,be
8,tech,"Ford Aspire CNG ભારતમાં લોન્ચ, જાણી લો કિંમત",entertainment,0.9958081245422363,te
9,business,ચિનના શાંધાઈમાં આઈસીઆઈસીઆઈ બેંક ખોલશે તેની નવી બ્રાંચ,entertainment,0.9990435242652893,be
10,entertainment,"દીપિકાએ વોગ મેગેઝીન માટે કરાવ્યું ફોટોશૂટ, જુઓ હોટ Pics",entertainment,0.982086181640625,ee
11,entertainment,પ્રિયંકા ચોપડાના પતિ નિક જોનસને ડેટ કરવા માગે છે ભૂમિ પેડનેકર,entertainment,0.9996726512908936,ee
12,business,"એક દિવસની રાહત બાદ ફરી પેટ્રોલના ભાવમાં ભડકો, રૂ. 89.60 પ્રતિ લિટર",entertainment,0.9998317956924438,be
13,business,"સુકન્યા યોજનામાં 3 મોટા બદલાવ, 1000 નહીં હવે 250 રૂપિયામાં ખુલશે ખાતુ",entertainment,0.9996078610420227,be
14,entertainment,બાળકોની ગણેશ પૂજા કરતી તસવીર શેર કરી ટ્રોલ થઇ ફરાહ ખાન,entertainment,0.9994279742240906,ee
15,entertainment,શું છૂપાઇને રેખા સ્પેશલ એપિસોડ જોઇ રહ્યા હતા અમિતાભ?,entertainment,0.9993011951446533,ee
16,tech,"હવે WhatsApp ગ્રૃપમાં બોલીને મોકલી શકશો મેસેજ, માત્ર આ યુઝર્સને થશે ફાયદો",entertainment,0.9916125535964966,te
17,tech,"Xiaomiના આ Smart TVનું આજથી સેલ, સાથે મળશે 80 વર્ષ માટે ફ્રી કન્ટેન્ટ",entertainment,0.9994342923164368,te
18,business,"અમદાવાદઃખેતરમાંથી સીધી હવે કેસર કેરી ગ્રાહકો સુધી પહોચશે,મેયરે કેરી મહોત્સવ ખુલ્લો મુક્યો",entertainment,0.9995917677879333,be
19,entertainment,5 વર્ષ બાદ એક સાથે ઓન-સ્ક્રીન પર નજર આવશે સૈફીના,entertainment,0.996831476688385,ee
20,business,"આઇડિયા-વોડાફોન એકબીજામાં ભળી જશે, બનશે દેશની સૌથી મોટી ટેલિકોમ કંપની",entertainment,0.9995529055595398,be
21,tech,મૃત વ્યક્તિઓને આવી રીતે જીવિત રાખવાની તૈયારીમાં વેજ્ઞાનિક!,entertainment,0.9995529055595398,te
22,entertainment,PHOTOS: આકાશ અંબાણી અને શ્લોકા મહેતાનાં લગ્નમાં બોલિવૂડનાં A સ્ટાર્સનો જમાવડો,entertainment,0.9998989105224609,ee
23,tech,"માત્ર 1947 રૂપિયામાં મળી રહ્યો છે 44 હજારનો ફોન, ફટાફટ કરો બુકિંગ",entertainment,0.9996786117553711,te
24,business,"મળી ગયું હોય બોનસ-ઇન્ક્રીમેન્ટ તો પહેલા કરો 3 કામ, નહીં રહે પૈસાની ટેન્શન",entertainment,0.9998279809951782,be
25,entertainment,હિના ખાને વેડિંગ મેગેઝીનનાં કવર પેજ માટે કરાવ્યું હોટ ફોટોશૂટ,entertainment,0.9994398951530457,ee
26,entertainment,એરપોર્ટ પર સ્પોટ થયા વિરાટ-અનુષ્કા અને શાહરૂખ-સુહાના જુઓ Photos,entertainment,0.9997814297676086,ee
27,entertainment,"શું ગરોળી ખાય છે આ એક્ટ્રેસ, મોટાં મોટાં હીરો સાથે કર્યુ છે કામ",entertainment,0.9995529055595398,ee
28,entertainment,68માં જન્મદિવસ પર રજનીકાંતની ફિલ્મ 'પેટ્ટા'નું ટીઝર થયું રિલીઝ,entertainment,0.9994279742240906,ee
29,entertainment,"સારા અને સુઝૈન પાર્લર બહાર થયા સ્પોટ, જુઓ Pics",entertainment,0.9968679547309875,ee
30,entertainment,"આટલા મોંઘા સ્કર્ટમાં નજર આવી પ્રિયંકા ચોપડા, જુઓ તસવીર",entertainment,0.9990435242652893,ee
31,tech,‘સ્પીડ’માં બધાને પછાડવા આવી રહ્યો છે OnePlus 6,entertainment,0.9999384880065918,te
32,entertainment,#MeToo: સલમાન ખાન પર બિગ બોસની પૂર્વ સ્પર્ધકે લગાવ્યો બળાત્કારનો આરોપ,entertainment,0.9930863380432129,ee
33,tech,"હવે દેશભરમાં મળશે ઇન્ટરનેટ, PCO હેઠળ ખુલશે ડેટા સેન્ટરો",entertainment,0.9999619722366333,te
34,business,"સતત બીજા દિવસે પણ પેટ્રોલ-ડીઝલના ભાવમાં વધારો, આજે આ ભાવ છે",entertainment,0.9994279742240906,be
35,entertainment,"શ્રીદેવીના રાજકીય સન્માન સાથે અંતિમ સંસ્કાર, RTIમાં થયા ખુલાસા",entertainment,0.9994398951530457,ee
36,tech,માત્ર 10 હજાર રુપિયામાં બૂક કરાવો Maruti Ciaz,entertainment,0.9997362494468689,te
37,entertainment,Lust Stories : ઓર્ગેઝમ સીનમાં લતાજીનું સોન્ગ યૂઝ થતા ગુસ્સે થયો મંગેશકર પરિવાર,entertainment,0.9991210103034973,ee
38,business,"Paytmએ શરૂ કરી નવી સ્કીમ, બેન્કની FDથી વધારે મળશે નફો",entertainment,0.9996460676193237,be
39,entertainment,"ટીવીની સૌથી ફેમસ 'ભાભી'નો બદલાયો અંદાજ, હોટ ફોટોઝ VIRAL",entertainment,0.9996747970581055,ee
40,entertainment,શા માટે દબંગ-3 માંથી હટાવી દીધી કરીના કપૂરને?,entertainment,0.9996137022972107,ee
41,entertainment,"VIDEO: પ્રિયા પ્રકાશની જેમ હવે શિલ્પા શિંદેએ કર્યો આંખથી ઇશારો, આ ક્રિકેટર થયો ઘાયલ",entertainment,0.9996676445007324,ee
42,entertainment,"'ઓક્ટોબર' પછી મોંઘો થયો વરૂણ, કેટરિનાથી પણ વધુ 25 કરોડ ફી",entertainment,0.9978200197219849,ee
43,entertainment,જાણો બોલીવુડના ટોપ 10 એક્ટર્સ એક ફિલ્મની કેટલી ફી લે છે?,entertainment,0.9997161030769348,ee
44,entertainment,"ફિલ્મ 'ઉરી'નું સ્ક્રિનિંગ: સ્ટાર્સે નિહાળી વિક્કી કૌશલની ફિલ્મ, તસવીરોમાં જુઓ રિએક્શન",entertainment,0.9995917677879333,ee
45,tech,"ભારતની આ છે સૌથી મોંઘી કાર, આટલી કિંમતમાં તો તૈયાર થઇ જાય એક મહેલ",entertainment,0.9996726512908936,te
46,business,Startup India મુજબ નવો વેપાર શરૂ કરવા માટે આ રાજ્ય છે બેસ્ટ,entertainment,0.9979054927825928,be
47,entertainment,"બિગ બોસની આ સ્પર્ધકે કરાવ્યું બોલ્ડ ફોટોશૂટ, જુઓ Pics",entertainment,0.9732378721237183,ee
48,entertainment,આ વીડિયો જોઇને લાગશે કે ઐશ્વર્યા તેમના સાસુને પણ આટલો પ્રેમ નહીં કરતી હોય?,entertainment,0.9995465874671936,ee
49,entertainment,"'ધોની'ની ફિલ્મી ગર્લફ્રેન્ડે શેર કર્યા Bikini Photos, પૂલનાં કિનારે જુઓ તેનો હોટ અંદાજ",entertainment,0.9997150301933289,ee
